label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Artist_Info,73,730,1743,1924,20240621_124037.jpg,1816,4032
Artist_Info,6,975,1679,1735,20240621_124040.jpg,1816,4032
Artist_Info,221,505,1595,1878,20240621_124044.jpg,1816,4032
Artist_Info,32,842,1784,1914,20240621_124046.jpg,1816,4032
Artist_Info,0,689,1757,1848,20240621_124048.jpg,1816,4032
Artist_Info,22,954,1751,1914,20240621_124050.jpg,1816,4032
Artist_Info,236,1307,1220,1353,20240621_124052.jpg,1816,4032
Artist_Info,27,1771,1638,1633,20240621_124109.jpg,1816,4032
Artist_Info,139,1669,1618,1694,20240621_124111.jpg,1816,4032
Artist_Info,6,1608,1649,1674,20240621_124113.jpg,1816,4032
Artist_Info,379,1934,812,883,20240621_124114.jpg,1816,4032
Artist_Info,236,1654,1501,1608,20240621_124115.jpg,1816,4032
Artist_Info,124,1332,1597,1485,20240621_124117.jpg,1816,4032
Artist_Info,369,1756,990,1077,20240621_124118.jpg,1816,4032
Artist_Info,0,1373,1395,1531,20240621_124119.jpg,1816,4032
Artist_Info,1022,1638,794,1511,20240621_124121.jpg,1816,4032
Artist_Info,491,1873,1036,1128,20240621_124122.jpg,1816,4032
Artist_Info,52,1230,1541,1414,20240621_124123.jpg,1816,4032
Artist_Info,614,1419,679,735,20240621_124124.jpg,1816,4032
Artist_Info,353,2082,1281,1485,20240621_124126.jpg,1816,4032
Artist_Info,568,1271,1087,1036,20240621_124127.jpg,1816,4032
Artist_Info,660,1286,663,653,20240621_124128.jpg,1816,4032
Artist_Info,706,1546,521,500,20240621_124129.jpg,1816,4032
Artist_Info,471,1225,1062,1169,20240621_124131.jpg,1816,4032
Artist_Info,660,1526,1156,1312,20240621_124132.jpg,1816,4032
Artist_Info,369,1368,970,929,20240621_124134.jpg,1816,4032
Artist_Info,62,995,1562,1649,20240621_124135.jpg,1816,4032
Artist_Info,466,1373,934,929,20240621_124136.jpg,1816,4032
Artist_Info,37,985,1618,1858,20240621_124137.jpg,1816,4032
Artist_Info,522,1649,572,572,20240621_124138.jpg,1816,4032
Artist_Info,353,1220,1322,1307,20240621_124139.jpg,1816,4032
Artist_Info,655,1577,602,638,20240621_124140.jpg,1816,4032
Artist_Info,216,1092,1600,1751,20240621_124142.jpg,1816,4032
Artist_Info,404,1654,709,771,20240621_124143(0).jpg,1816,4032
Artist_Info,0,1108,1170,1689,20240621_124143.jpg,1816,4032
Artist_Info,98,1740,1526,1608,20240621_124144.jpg,1816,4032
Artist_Info,369,1220,960,949,20240621_124146.jpg,1816,4032
Artist_Info,195,1649,1337,1414,20240621_124147.jpg,1816,4032
Artist_Info,404,1526,965,1072,20240621_124148.jpg,1816,4032
Artist_Info,675,1368,1128,1250,20240621_124150(0).jpg,1816,4032
Artist_Info,364,1618,878,934,20240621_124150.jpg,1816,4032
Artist_Info,420,1659,847,730,20240621_124151.jpg,1816,4032
Artist_Info,532,1975,786,755,20240621_124152.jpg,1816,4032
Artist_Info,226,1455,1031,1225,20240621_124153.jpg,1816,4032
Artist_Info,231,1730,801,888,20240621_124154.jpg,1816,4032
Artist_Info,348,2021,735,781,20240621_124155.jpg,1816,4032
Artist_Info,185,1934,684,903,20240621_124156.jpg,1816,4032
Artist_Info,695,2169,857,602,20240621_124157.jpg,1816,4032
Artist_Info,384,1832,975,914,20240621_124158.jpg,1816,4032
Artist_Info,22,2011,1256,914,20240621_124159.jpg,1816,4032
Artist_Info,1073,1638,743,725,20240621_124200(0).jpg,1816,4032
Artist_Info,205,1807,658,1108,20240621_124200.jpg,1816,4032
Artist_Info,302,1393,1514,1970,20240621_124201.jpg,1816,4032
Artist_Info,547,954,883,796,20240621_124202(0).jpg,1816,4032
Artist_Info,287,1740,715,1148,20240621_124202.jpg,1816,4032
Artist_Info,0,679,1088,1516,20240621_124203.jpg,1816,4032
Artist_Info,547,1194,1269,1291,20240621_124204(0).jpg,1816,4032
Artist_Info,808,1613,1008,1108,20240621_124204.jpg,1816,4032
Artist_Info,27,1485,985,1082,20240621_124205.jpg,1816,4032
Artist_Info,0,1455,1527,1577,20240621_124206(0).jpg,1816,4032
Artist_Info,394,1664,1087,985,20240621_124206.jpg,1816,4032
Artist_Info,389,1174,1368,1444,20240621_124207.jpg,1816,4032
Artist_Info,486,1700,715,485,20240621_124208.jpg,1816,4032
Artist_Info,267,1097,919,806,20240621_124209.jpg,1816,4032
